school_hash,school_uid,schoolLabel,schoolCode,zip,match_school_id,match_school_name,match_ratio
a92b8f88b588f3b96fe6f9c08e2c672629b933bea173f401708b6ad72fc6a728,94109-Spring Valley Science Elementary School,Spring Valley Science Elementary School,834,94109,6041594,Spring Valley Elementary,0.7619047619047619
567e68a84680fcef1fe319300be6676736d25e6b0d368419cdfad9ff85cbb7a3,94107-Starr King Elementary School,Starr King Elementary School,838,94107,6041602,King (Thomas Starr) Elementary,0.5517241379310345
996d10af8ecbd540e178e06ab41441617453e819fa4240e54b1a9932985a20f8,94112-Sunnyside Elementary School,Sunnyside Elementary School,842,94112,6041610,Sunnyside Elementary,0.851063829787234
edfeff02b90c947b1f3f238616b0208e3a11ac0cf4116767755f637a02fab38e,94116-Sunset Elementary School,Sunset Elementary School,750,94116,6113997,Sunset Elementary,0.8292682926829268
e1db01050c6e3321f78dfdee06d0e164ef0adc2d274ecc0ad7cbbf5df31570e5,94118-Sutro Elementary School,Sutro Elementary School,848,94118,6041644,Sutro Elementary,0.8205128205128205
b1e663356dd6932f54d9744f01b70b1288521060e7c11df241c3f376642bf0e7,94102-Tenderloin Community Elementary School,Tenderloin Community Elementary School,859,94102,6115901,Tenderloin Community,0.6896551724137931
c558554da482ae8970d4d1dceb7f4f2636db8487a20ccb9b0ddf0e8a8c40dbb9,94131-The Academy - San Francisco @ McAteer,The Academy - San Francisco @ McAteer,832,94131,0119958,Academy (The)- SF @McAteer,0.6666666666666666
e98db5b7f456d2a8e47350c952d0e634574d55ece20699b9174a434fe8edfb3f,94114-Theresa S. Mahler Early Education School,Theresa S. Mahler Early Education School,923,94114,6041545,Sanchez Elementary,0.27586206896551724
339a90c8d9ea0a82d9df5c906869ea81439955a002af994d95f23dca581b693b,94124-Thurgood Marshall Academic High School,Thurgood Marshall Academic High School,853,94124,3830403,Marshall (Thurgood) High,0.4838709677419355
98c1a4995042f712acf51889347d73d685fc4379473027d11f4d4dd30678d5f0,94123-Tule Elk Park Early Education School,Tule Elk Park Early Education School,"997, 860",94123,6041578,Sherman Elementary,0.25925925925925924
b01bd9f6fd24e6ffde4f6c46891ed9664600118e0913d5194732de686cf1964f,94116-Ulloa Elementary School,Ulloa Elementary School,862,94116,6041685,Ulloa Elementary,0.8205128205128205
4916f2b57b93df52399710951ec150d1f32f5598e0951d403350a88a342d597c,94134-Visitacion Valley Elementary School,Visitacion Valley Elementary School,867,94134,6041701,Visitacion Valley Elementary,0.8888888888888888
e78c0bda61385f3ab9f02ea4b1eee41b8c4dae88839411d3c237e73fd7b2099b,94134-Visitacion Valley Middle School,Visitacion Valley Middle School,868,94134,6059919,Visitacion Valley Middle,0.8727272727272727
c5d65e0d4e041143af03da098eacbc63c471a107f109a0f50a18bedec90f60e0,94127-West Portal Elementary School,West Portal Elementary School,876,94127,6041727,West Portal Elementary,0.8627450980392157
c6fa64856c9cd92e3c5ec2a830aba747591e65888a82df4543f4c084ea42f4cf,94124-Willie L. Brown Jr. Middle School,Willie L. Brown Jr. Middle School,858,94124,6040760,Harte (Bret) Elementary,0.25
7118e1a6a7989410dc11a104aac4a23578ee343abb929fab012d77c3db0d2bb7,94127-Woodside Learning Center,Woodside Learning Center,892,94127,3830361,S.F. County Court Woodside Learning Ctr,0.6666666666666666
9ebad2056801fcb42988b30f714d1b0135b3936d0b20ffc125c0d173a9cd8ad9,94133-Yick Wo Alternative Elementary School,Yick Wo Alternative Elementary School,801,94133,6041131,Yick Wo Elementary,0.6545454545454545
9fdfd2e8badd8ddd5871029fa292ded52e838fa74f0bd1f1cf92c9baef18f0e6,94105-Youth Chance High School,Youth Chance High School,458,94105,,,
9fcb2c4c5aa1faa4a2c7a384d92af972a57d990df2deb920c99ee867ddb2ed6a,94110-Zaida T. Rodriguez Early Education School,Zaida T. Rodriguez Early Education School,965 PK,94110,6062046,Buena Vista/ Horace Mann K-8,0.2898550724637681
